"ROI_info","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction_prepractice","count_Params","count_README","count_collect_clicks","count_exp_table","count_experiment","count_fixation","count_init_mouse_keyboard","count_instruction_closing","count_instruction_postpractice","count_instruction_prepractice","count_log_data","count_practice_table","count_trial_seq","datetime","debug","debug_image","description","disable_garbage_collection","done_key","experiment_file","experiment_path","filename","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","image_created_date","image_created_time","image_scaling_prop","keyboard_backend","live_row","live_row_practice_table","logfile","mass_type","mass_type2","mouse_backend","opensesame_codename","opensesame_version","psychopy_screen","psychopy_waitblanking","repeat_cycle","response","response_instruction_closing","response_instruction_postpractice","response_instruction_prepractice","response_time","response_time_instruction_closing","response_time_instruction_postpractice","response_time_instruction_prepractice","response_x_scaled","response_y_scaled","round_decimals","sampler_backend","seed","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Params","time_README","time_collect_clicks","time_exp_table","time_experiment","time_fixation","time_init_mouse_keyboard","time_instruction_closing","time_instruction_postpractice","time_instruction_prepractice","time_log_data","time_practice_table","time_trial_seq","timeout_listener_ms","timeout_trial_ms","title","total_correct","total_response_time","total_responses","trial_type","uniform_coordinates","user_clicks","width"
"[[850, 1906], [466, 966]]","undefined","undefined","undefined","undefined","black","psycho","psycho","psycho","0","uniform","undefined","undefined","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Feb 19 22:30:30 2023","1","mass_2.png","The main experiment item","yes","space","ecr_data_collection.osexp","C:\Users\nelso\Documents\GitHub\contextlab_medicalimageperception_experiments\february_2023","2023-02-19_18-57-26_ROI_[[850, 1906], [466, 966]]__Users_nelsonroque_Desktop_victre_feb_2023_stack__fatty_17_DICOM_dm_000.png","no","sans","no","18","no","white","no","no","768","2/19/2023","18-57-26","0.5","psycho","0","0","C:/Users/nelso/Documents/GitHub/contextlab_medicalimageperception_experiments/february_2023\quickrun.csv","fatty","NA","psycho","Lentiform Loewenfeld","3.3.14","0","yes","0","space","NA","NA","space","775.0993999652565","NA","NA","775.0993999652565","503","375","2","psycho","17","1024","2","48000","-16","experiment","999","odd","2067.1404999447986","NA","3451.7586999572814","NA","2066.9356000144035","2951.4190000481904","2905.7369999354705","NA","NA","2129.7380999894813","6213.189600035548","2905.91279999353","2923.0280000483617","60","20000","Medical Image Search","0","0","0","practice","yes","[{\"click\": 1, \"position\": [-9.0, -9.0], \"position_scaled\": {\"x\": 503, \"y\": 375}, \"click_end_time\": 4907.6893000165}]","1024"
"[]","undefined","undefined","undefined","undefined","black","psycho","psycho","psycho","0","uniform","undefined","undefined","0","0","1","0","0","1","0","0","0","0","1","0","1","Sun Feb 19 22:30:30 2023","1","mass_2.png","The main experiment item","yes","space","ecr_data_collection.osexp","C:\Users\nelso\Documents\GitHub\contextlab_medicalimageperception_experiments\february_2023","2023-02-19_18-58-26_ROI_[]__Users_nelsonroque_Desktop_victre_feb_2023_stack__3_absent_3_DICOM_dm_000.png","no","sans","no","18","no","white","no","no","768","2/19/2023","18-58-26","0.5","psycho","1","1","C:/Users/nelso/Documents/GitHub/contextlab_medicalimageperception_experiments/february_2023\quickrun.csv","absent","NA","psycho","Lentiform Loewenfeld","3.3.14","0","yes","0","space","NA","NA","space","775.0993999652565","NA","NA","775.0993999652565","512","381","2","psycho","3","1024","2","48000","-16","experiment","999","odd","2067.1404999447986","NA","6808.856299961917","NA","2066.9356000144035","6309.029399999417","2905.7369999354705","NA","NA","2129.7380999894813","8690.72439998854","2905.91279999353","6265.307200024836","60","20000","Medical Image Search","0","0","0","practice","yes","[{\"click\": 1, \"position\": [0.0, -3.0], \"position_scaled\": {\"x\": 512, \"y\": 381}, \"click_end_time\": 7593.459499999881}]","1024"
"[[421, 1701]]","undefined","undefined","undefined","undefined","black","psycho","psycho","psycho","0","uniform","undefined","undefined","0","0","2","0","0","2","0","0","0","0","2","0","2","Sun Feb 19 22:30:30 2023","1","mass_2.png","The main experiment item","yes","space","ecr_data_collection.osexp","C:\Users\nelso\Documents\GitHub\contextlab_medicalimageperception_experiments\february_2023","2023-02-19_18-56-36_ROI_[[421, 1701]]__Users_nelsonroque_Desktop_victre_feb_2023_stack__fatty8_massB_8_DICOM_dm_000.png","no","sans","no","18","no","white","no","no","768","2/19/2023","18-56-36","0.5","psycho","2","2","C:/Users/nelso/Documents/GitHub/contextlab_medicalimageperception_experiments/february_2023\quickrun.csv","fatty8","massB","psycho","Lentiform Loewenfeld","3.3.14","0","yes","0","space","NA","NA","space","775.0993999652565","NA","NA","775.0993999652565","512","381","2","psycho","8","1024","2","48000","-16","experiment","999","odd","2067.1404999447986","NA","9260.813300032169","NA","2066.9356000144035","8760.213800007477","2905.7369999354705","NA","NA","2129.7380999894813","15058.51270002313","2905.91279999353","8741.385699948296","60","20000","Medical Image Search","0","0","0","practice","yes","[{\"click\": 1, \"position\": [0.0, -3.0], \"position_scaled\": {\"x\": 512, \"y\": 381}, \"click_end_time\": 9778.47819996532}]","1024"
"[[732, 2041]]","undefined","undefined","undefined","undefined","black","psycho","psycho","psycho","0","uniform","undefined","undefined","0","0","3","0","0","3","0","0","0","0","3","0","3","Sun Feb 19 22:30:30 2023","1","mass_2.png","The main experiment item","yes","space","ecr_data_collection.osexp","C:\Users\nelso\Documents\GitHub\contextlab_medicalimageperception_experiments\february_2023","2023-02-19_18-56-34_ROI_[[732, 2041]]__Users_nelsonroque_Desktop_victre_feb_2023_stack__fatty18_massA_18_DICOM_dm_000.png","no","sans","no","18","no","white","no","no","768","2/19/2023","18-56-34","0.5","psycho","3","3","C:/Users/nelso/Documents/GitHub/contextlab_medicalimageperception_experiments/february_2023\quickrun.csv","fatty18","massA","psycho","Lentiform Loewenfeld","3.3.14","0","yes","0","space","NA","NA","space","775.0993999652565","NA","NA","775.0993999652565","512","381","2","psycho","18","1024","2","48000","-16","experiment","999","odd","2067.1404999447986","NA","15633.341999957338","NA","2066.9356000144035","15133.16319999285","2905.7369999354705","NA","NA","2129.7380999894813","16911.532099940814","2905.91279999353","15107.938900007866","60","20000","Medical Image Search","0","0","0","practice","yes","[{\"click\": 1, \"position\": [0.0, -3.0], \"position_scaled\": {\"x\": 512, \"y\": 381}, \"click_end_time\": 16493.34980000276}]","1024"
